Věra Jourová (Vice-President),Deutsche Welle
Frans Timmermans (Executive Vice-President),Fortescue Metals Group Ltd
Florian Denis,Amazon Europe Core SARL
Andrea Beltramello,HSBC Holdings PLC
Andrea Beltramello,BANCO BILBAO VIZCAYA ARGENTARIA
Andrea Beltramello,Banco Santander, S.A.
Andrea Beltramello,Deutsche Bank AG
Andrea Beltramello,UniCredit
Andrea Beltramello,Barclays PLC
Andrea Beltramello,ING Group
Andrea Beltramello,Amazon Europe Core SARL
Lauriane  Bertrand,Ancienne Belgique
Barbara GLOWACKA,ClientEarth AISBL
Barbara GLOWACKA,Climate Action Network Europe
Stefanie Hiesinger,Fair Trade Advocacy Office
Věra Jourová (Vice-President),Kantar Media UK Ltd
Věra Jourová (Vice-President),Sdružení pro internetový rozvoj
Daniel Braun,European Policy Centre
Marie Frenay,Axel Springer SE
Filomena Chirico,HateAid gGmbH
Nathalie De Basaldua Lemarchand,Federation of European Securities Exchanges
Joan Canton,KIC InnoEnergy SE
Darta Tentere,Verband der Automobilindustrie
Peter Power,Verband der Automobilindustrie
Diederik Samsom,Carbon Market Watch
Stefanie Hiesinger,Carbon Market Watch
Věra Jourová (Vice-President),EBU-UER (European Broadcasting Union)
Stefanie Hiesinger,Carbon Market Watch
Diederik Samsom,Carbon Market Watch
Diederik Samsom,Tata Steel Nederland
Věra Jourová (Vice-President),DOT Europe
Věra Jourová (Vice-President),TikTok Technology Ltd
Věra Jourová (Vice-President),Reporters sans frontières
Věra Jourová (Vice-President),Twitter International Unlimited Company
Věra Jourová (Vice-President),Microsoft Corporation
Věra Jourová (Vice-President),Avaaz Foundation
Věra Jourová (Vice-President),Google
Věra Jourová (Vice-President),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Věra Jourová (Vice-President),Fundación Maldita.es contra la desinformación: periodismo, educación investigación y datos en nuevos formatos
Věra Jourová (Vice-President),Newsback
Věra Jourová (Vice-President),Interactive Advertising Bureau Europe
Mette Dyrskjot,GlovoApp23, S.L.
Werner Stengg,GlovoApp23, S.L.
Mette Dyrskjot,Grayling
Werner Stengg,Grayling
Werner Stengg,European Trade Union Committee for Education
Werner Stengg,European Trade Union Institute
Filomena Chirico,Reporters sans frontières
Thierry Breton (Commissioner),Reporters sans frontières
Filomena Chirico,Newsback
Thierry Breton (Commissioner),Newsback
Filomena Chirico,Interactive Advertising Bureau Europe
Thierry Breton (Commissioner),Interactive Advertising Bureau Europe
Filomena Chirico,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Thierry Breton (Commissioner),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Filomena Chirico,Twitter International Unlimited Company
Thierry Breton (Commissioner),Twitter International Unlimited Company
Filomena Chirico,DOT Europe
Thierry Breton (Commissioner),DOT Europe
Filomena Chirico,Microsoft Corporation
Thierry Breton (Commissioner),Microsoft Corporation
Filomena Chirico,TikTok Technology Ltd
Thierry Breton (Commissioner),TikTok Technology Ltd
Filomena Chirico,Avaaz Foundation
Thierry Breton (Commissioner),Avaaz Foundation
Filomena Chirico,Google
Thierry Breton (Commissioner),Google
Filomena Chirico,Fundación Maldita.es contra la desinformación: periodismo, educación investigación y datos en nuevos formatos
Thierry Breton (Commissioner),Fundación Maldita.es contra la desinformación: periodismo, educación investigación y datos en nuevos formatos
Olivér Várhelyi (Commissioner),Konrad-Adenauer-Stiftung
Olivér Várhelyi (Commissioner),Trans Adriatic Pipeline
Giorgios Rossides,Euroseeds
Ines Prainsack,Euroseeds
Roberto Reig Rodrigo,Euroseeds
Frans Timmermans (Executive Vice-President),European agri-cooperatives
Frans Timmermans (Executive Vice-President),European farmers
Ines Prainsack,PATH
Daphne von Buxhoeveden,PATH
Ralf Kuhne,PATH
Antoine Colombani,Mouvement des Entreprises de France
Johannes Hahn (Commissioner),Verband der Automobilindustrie
Geneviève Tuts,Mouvement des Entreprises de France
Lucrezia Busa,Mouvement des Entreprises de France
Geneviève Tuts,Microsoft Corporation
Lucrezia Busa,Microsoft Corporation
Lucia Caudet,Verband der Automobilindustrie
Thierry Breton (Commissioner),Verband der Automobilindustrie
Joan Canton,Verband der Automobilindustrie
Joan Canton,FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors
Thierry Breton (Commissioner),FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors
Joan Canton,Leaseurope
Thierry Breton (Commissioner),Leaseurope
Joan Canton,Fédération Internationale de l'Automobile
Thierry Breton (Commissioner),Fédération Internationale de l'Automobile
Joan Canton,ADPA - European Independent Automotive Data Publishers Association
Thierry Breton (Commissioner),ADPA - European Independent Automotive Data Publishers Association
Joan Canton,European Tyre & Rubber Manufacturers' Association
Thierry Breton (Commissioner),European Tyre & Rubber Manufacturers' Association
Joan Canton,Insurance Europe
Thierry Breton (Commissioner),Insurance Europe
Joan Canton,European Council for Motor Trades and Repairs
Thierry Breton (Commissioner),European Council for Motor Trades and Repairs
Joan Canton,European Garage and test Equipment Association
Thierry Breton (Commissioner),European Garage and test Equipment Association
Maciej Golubiewski,Cia - Agricoltori italiani
Joanna Stawowy,Hume Brophy
Joanna Stawowy,Meat and Livestock Australia
Jorge Pinto Antunes,Lantbrukarnas Riksförbund
Darta Tentere,Vitol Holding BV
Diederik Samsom,Achmea B.V.
Christiane Canenbley,Open Society European Policy Institute
Margrethe Vestager (Executive Vice-President),Open Society European Policy Institute
Werner Stengg,Open Society European Policy Institute
Werner Stengg,DeepMind Technologies Limited
Tommy De Temmerman,Associazione Bancaria Italiana
Silvan Agius,International Romani Union
Thierry Breton (Commissioner),LA POSTE
Elina Laurinen,LA POSTE
Filomena Chirico,LA POSTE
Thierry Breton (Commissioner),European Consumer Centre Belgium
Elina Laurinen,European Consumer Centre Belgium
Filomena Chirico,European Consumer Centre Belgium
Thierry Breton (Commissioner),Mastercard Europe
Elina Laurinen,Mastercard Europe
Filomena Chirico,Mastercard Europe
Thierry Breton (Commissioner),Vinted
Elina Laurinen,Vinted
Filomena Chirico,Vinted
Thierry Breton (Commissioner),EURid vzw
Elina Laurinen,EURid vzw
Filomena Chirico,EURid vzw
Thierry Breton (Commissioner),Air France-KLM
Elina Laurinen,Air France-KLM
Filomena Chirico,Air France-KLM
Thierry Breton (Commissioner),LVMH Publica
Elina Laurinen,LVMH Publica
Filomena Chirico,LVMH Publica
Thierry Breton (Commissioner),Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Elina Laurinen,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Filomena Chirico,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Thierry Breton (Commissioner),Amazon Europe Core SARL
Elina Laurinen,Amazon Europe Core SARL
Filomena Chirico,Amazon Europe Core SARL
Thierry Breton (Commissioner),MSC Mediterranean Shipping Company S.A.
Elina Laurinen,MSC Mediterranean Shipping Company S.A.
Filomena Chirico,MSC Mediterranean Shipping Company S.A.
Antoine Kasel,CSR Europe, The Business Network for Corporate Social Responsibility
Fabien Dell,CSR Europe, The Business Network for Corporate Social Responsibility
Nicolas Schmit (Commissioner),CSR Europe, The Business Network for Corporate Social Responsibility
Antoine Colombani,KfW Bankengruppe
Aleksandra Tomczak,Katholieke Universiteit te Leuven
Stefanie Hiesinger,Katholieke Universiteit te Leuven
Antoine Colombani,Katholieke Universiteit te Leuven
Aleksandra Tomczak,EUROMETAUX
Stefanie Hiesinger,EUROMETAUX
Antoine Colombani,EUROMETAUX
Chris Uregian,Royal Caribbean Group
Margaritis Schinas (Vice-President),Royal Caribbean Group
Despina Spanou,Public Power Corporation S.A.
Margaritis Schinas (Vice-President),Public Power Corporation S.A.
Maria-Myrto Kanellopoulou,Public Power Corporation S.A.
Chris Uregian,Public Power Corporation S.A.
Despina Spanou,Bitkom e.V.
Andrea Beltramello,Brunswick Group Advisory Limited
Andrea Beltramello,Alipay (Europe) Limited S.A.
Olivér Várhelyi (Commissioner),Secretariat of COMECE (Commission of the Episcopates of the European Union)
Walter Goetz,Liberty Global Corporate B.V.
Kurt Vandenberghe,ELECTRICITE DE FRANCE
Kurt Vandenberghe,Eurelectric aisbl
Olivér Várhelyi (Commissioner),KfW Bankengruppe
Darta Tentere,The Club of Rome
Lukas Visek,Bund für Umwelt und Naturschutz Deutschland e. V.
Helena Braun,Bund für Umwelt und Naturschutz Deutschland e. V.
Pierre-Arnaud Proux,EUROMETAUX
Alejandro Cainzos,EUROMETAUX
Lukas Visek,NOVUS AgroEcology BV
Diederik Samsom,NOVUS AgroEcology BV
Diederik Samsom,European Chemical Industry Council
Diederik Samsom,Koninklijke Vereniging van de Nederlandse Chemische Industrie
Frans Timmermans (Executive Vice-President),Heineken N.V.
Frans Timmermans (Executive Vice-President),EVN AG
Werner Stengg,Kaupan liitto ry - Finnish Commerce Federation
Lauriane  Bertrand,European & International Booksellers Federation
Chris Uregian,AT&T, Inc.
Margaritis Schinas (Vice-President),AT&T, Inc.
Isabelle Perignon,Kaupan liitto ry - Finnish Commerce Federation
Andrea Beltramello,Aula Europe
Andrea Beltramello,Teollisuuden Voima Oyj
Joan Canton,European Chemical Industry Council
Elina Laurinen,Kaupan liitto ry - Finnish Commerce Federation
Thor-Sten Vertmann,DTEK
Peeter Kadarik,Teollisuuden Voima Oyj
Thor-Sten Vertmann,Teollisuuden Voima Oyj
Johannes Hahn (Commissioner),KfW Bankengruppe
Tatiana Marquez Uriarte,NATURGY ENERGY GROUP
Tatiana Marquez Uriarte,Anglo American
Joan Canton,France Industrie
Olivér Várhelyi (Commissioner),The Ad Hoc Partnership Limited
Darta Tentere,ClimateView AB
Lukas Visek,YARA  BELGIUM S.A.
Lukas Visek,KPMG
Wojtek Talko,Deutsche Post DHL Group
Simona Constantin,Deutsche Post DHL Group
Marie Frenay,Committee to Protect Journalists
Penelope Papandropoulos,AT&T, Inc.
Werner Stengg,OpenAI, L.P.
Alina-Stefania Ujupan,Aalborg Universitet
Tommy De Temmerman,Banking & Payments Federation Ireland
Filomena Chirico,Creative Commons
Agnieszka Skonieczna,Creative Commons
Filomena Chirico,BOUYGUES EUROPE
Christoph Nerlich,Deutsche Post DHL Group
Ana Carla  Pereira,Deutsche Post DHL Group
David Mueller,Wirtschaftskammer Österreich
Carole Mancel-Blanchard,International Romani Union
Francisco Barros Castro,International Romani Union
Alejandro Cainzos,Broadcom
Alejandro Cainzos,Broadcom
Penelope Papandropoulos,BOUYGUES EUROPE
Werner Stengg,BOUYGUES EUROPE
Kim Jorgensen,BOUYGUES EUROPE
Michele Piergiovanni,Vodafone Belgium SA
Suvi Leinonen,Finnish-African Society ry/ Suomen Afrikka-Seura ry
Peeter Kadarik,Eesti Erametsaliit
Andrea Beltramello,Fair Trade Advocacy Office
Andrea Beltramello,Christelijk Nationaal Vakverbond Vakcentrale
Andrea Beltramello,International Federation for Human Rights
Andrea Beltramello,Vereinte Dienstleistungsgewerkschaft
Andrea Beltramello,Eurogroup for Animals
Barbara GLOWACKA,Third Way
Barbara GLOWACKA,ATREVIA COMUNICACIÓN
Monika Maglione,The Council of European Professional Informatics Societies
Joan Canton,Fédération Internationale de l'Automobile
Joan Canton,European Tyre & Rubber Manufacturers' Association
Joan Canton,FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors
Joan Canton,ADPA - European Independent Automotive Data Publishers Association
Joan Canton,AIRC International
Joan Canton,Leaseurope
Joan Canton,European Garage and test Equipment Association
Joan Canton,Insurance Europe
Joan Canton,European Council for Motor Trades and Repairs
Szabolcs Horvath,ΟΙΚΟΝΟΜΙΚΟ ΣΥΝΕΔΡΙΟ ΔΕΛΦΩΝ
Anthony Whelan,Association of Commercial Television and Video on Demand Services in Europe
Darta Tentere,ICI Global
Marie Frenay,EBU-UER (European Broadcasting Union)
Diederik Samsom,Technische Universiteit Delft
Diederik Samsom,Bloomberg L.P.
Damyana Stoynova,Bloomberg L.P.
Lucia Bonova,First Solar GmbH
Frans Timmermans (Executive Vice-President),Climate Leadership Coalition
Frans Timmermans (Executive Vice-President),Electrolux Home Products Europe
Frans Timmermans (Executive Vice-President),Gasum Oy
Frans Timmermans (Executive Vice-President),Wärtsilä Corporation
Frans Timmermans (Executive Vice-President),St1 Sverige AB
Frans Timmermans (Executive Vice-President),Vestas Wind Systems A/S
Frans Timmermans (Executive Vice-President),Huhtamäki Oyj
Frans Timmermans (Executive Vice-President),Neste Oyj
Frans Timmermans (Executive Vice-President),Stora Enso Oyj
Frans Timmermans (Executive Vice-President),SOK
Frans Timmermans (Executive Vice-President),KONE Corporation
Frans Timmermans (Executive Vice-President),Greenpeace European Unit
Frans Timmermans (Executive Vice-President),Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners
Frans Timmermans (Executive Vice-President),Suomen luonnonsuojeluliitto - The Finnish Association for Nature Conservation
Frans Timmermans (Executive Vice-President),Finnish Forest Industries Federation (Metsäteollisuus ry)
Frans Timmermans (Executive Vice-President),International Union for Conservation of Nature EU Representative Office
Anthony Agotha,European Policy Centre
Tatiana Marquez Uriarte,European Policy Centre
Monika Maglione,ISFE - Representing the European Videogames Industry
Monika Maglione,Roblox Corporation
Andreas Schneider,Национална асоциация на зърнопроизводителите
Janusz Wojciechowski (Commissioner),Национална асоциация на зърнопроизводителите
Magdalena Majerczyk,Национална асоциация на зърнопроизводителите
Rachel Smit,DASSAULT AVIATION
Joan Canton,L'Oréal
Anthony Whelan,EUROMETAUX
Maurits-Jan Prinz,SANOFI
Daniel Braun,Workday
Werner Stengg,Instituto para la Cultura Democrática en la Era Digital
Alejandro Cainzos,Workday
Werner Stengg,Workday
Alina-Stefania Ujupan,Pearson
Filomena Chirico,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Filomena Chirico,Tencent International Service Europe B.V.
Chris Uregian,Ericsson
Despina Spanou,Ericsson
Monika Maglione,Thorn
Monika Maglione,Snap, Inc.
Tommy De Temmerman,Fédération bancaire française
Roxana Lesovici,European Community Shipowners' Associations
Walter Goetz,Airlines for America
Rachel Smit,Airlines for America
Anthony Whelan,Instituto para la Cultura Democrática en la Era Digital
Christiane Canenbley,Bundesverband der Deutschen Industrie e.V.
Daniel Braun,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Daniel Braun,Twitter International Unlimited Company
Werner Stengg,Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)
Kim Jorgensen,Salesforce
Werner Stengg,Salesforce
Alina-Stefania Ujupan,European Alliance for Plant-based Foods
Mariya Gabriel (Commissioner),Association relative à la télévision européenne
Filomena Chirico,Bundesverband Breitbandkommunikation e.V.
Roberta Torre,MSD (Europe), Inc. (Merck Sharp & Dohme)
Andrea Beltramello,Orgalim – Europe's Technology Industries
Andrea Beltramello,Conféderation Européenne des Propriétaires Forestiers
Roberto Berutti,Centre de liaison des industries transformatrices de viande de l'UE
Darta Tentere,Bundesverband deutscher Banken e.V.
Daniel Mes,European Sea Ports Organisation
Silvan Agius,Union of European Football Associations
Panayiotis Pourgourides,The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association
Karolina Herbout-Borczak,The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association
Thor-Sten Vertmann,European Tissue Symposium
Kurt Vandenberghe,Seed Global Health
Joan Canton,WACKER CHEMIE AG
Lukas Visek,Greenpeace European Unit
Lukas Visek,Stichting BirdLife Europe
Lukas Visek,European Environmental Bureau
Lukas Visek,Land- en Tuinbouw Organisatie Nederland
Pierre-Arnaud Proux,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Pierre-Arnaud Proux,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Monika Ladmanova,Google
Wojtek Talko,Google
Agnieszka Skonieczna,Association of Commercial Television and Video on Demand Services in Europe
Penelope Papandropoulos,Computer & Communications Industry Association
Werner Stengg,Computer & Communications Industry Association
Werner Stengg,Computer & Communications Industry Association
Penelope Papandropoulos,Computer & Communications Industry Association
Thierry Breton (Commissioner),Manufacture Française des Pneumatiques Michelin
Monika Maglione,Microsoft Corporation
Monika Maglione,Internet Watch Foundation
